No,Kode Perkiraan,Uraian,RKAPB Tahun 2022,Estimasi S/D Desember 2022,RKAPB Tahun 2023,Keterangan,,,,,,
1,"4,1,2",PENDAPATAN USAHA,,,,,,,,,,
,"4,1,2,1",Penerimaan Alat Tulis Kantor,"1,900,000,000","1,548,682,452","1,720,000,000","143,333,333",x,12,bulan,=,"1,720,000,000",
,"4,1,2,2",Penjualan Barang lain,0,"7,900,000",0,,,,,,,
,"4,1,2,3",Penjualan Kopi,"1,532,640,000","299,905,500","2,055,250,000","167,187,500",x,12,bulan,=,"2,006,250,000",( Pihak ke 3)
,,,,,,"4,083,333",x,12,bulan,=,"49,000,000",(Umum)
,,,,,,,,,,,"2,055,250,000",
,"4,1,2,4",Penjualan Air Mineral Dalam Kemasan,602190000,583380541,900000000,"75,000,000",x,12,bulan,=,"900,000,000",
,"4,1,2,5",Pendapatan Resi Gudang,696000000,70000000,0,,,,,,,
,"4,1,2,6",Pendapatan Lain - Lain,0,164722500,1680000000,"140,000,000",x,12,bulan,=,"1,680,000,000",
,,JUMLAH PENDAPATAN,4730830000,2674590993,6355250000,,,,,,,
,"5,1",HARGA POKOK PENJUALAN,,,,,,,,,,
,"5,1,1",Pembelian Alat Tulis Kantor,1463000000,1037664532,1376000000,"1,720,000,000",x,80%,=,"1,376,000,000", atau  114.666.000 x 12 bulan,
